ip_range,country,region,city,postal
77.199.110.0/24,FR,Île-de-France,Paris,75000
77.199.111.0/24,FR,Île-de-France,Paris,75000
77.199.109.0/24,FR,Île-de-France,Paris,75000
77.199.2.0/24,FR,Île-de-France,Paris,75000
77.199.53.0/24,FR,Île-de-France,Paris,75000
77.199.82.0/24,FR,Auvergne-Rhône-Alpes,Saint-Fons,69190
88.136.59.0/24,FR,Île-de-France,Paris,75000
88.136.62.0/24,FR,Nouvelle-Aquitaine,Lamothe-Montravel,24230
88.136.60.0/24,FR,Île-de-France,Paris,75000
88.136.64.0/24,FR,Auvergne-Rhône-Alpes,Amplepuis,69550
